event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
19,mode2,1,3,28281415,0x800001b4,REGEXT,28281415,0x80000188,JAL,28281425,0x80000188,JAL
20,other,1,4,28281435,0x800001b4,REGEXT,28281425,0x8000018c,VADD,28281505,0x80000190,VMUL
22,other,1,7,28281445,0x800001b4,REGEXT,28281435,0x8000018c,VADD,28281515,0x80000190,VMUL
18,other,1,0,28281415,0x800001b4,REGEXT,28281405,0x8000018c,VADD,28281485,0x80000190,VMUL
25,other,1,2,28281545,0x800001b4,REGEXT,28281535,0x8000018c,VADD,28281625,0x80000190,VMUL
24,other,1,3,28281535,0x800001b4,REGEXT,28281525,0x8000018c,VADD,28300085,0x800002b8,VSW12
27,other,1,5,28281575,0x800001b4,REGEXT,28281565,0x8000018c,VADD,28301235,0x800002b0,VLW12
23,other,1,6,28281525,0x800001b4,REGEXT,28281515,0x8000018c,VADD,28299725,0x800002b8,VSW12
26,other,1,1,28281555,0x800001b4,REGEXT,28281545,0x8000018c,VADD,28301715,0x800002b0,VLW12
29,mode2,1,6,54991275,0x800001b4,REGEXT,54991275,0x80000188,JAL,54991285,0x80000188,JAL
28,mode1,1,3,54991265,0x800001b4,REGEXT,54991215,0x80000184,BGE,54991305,0x80000188,JAL
32,mode1,1,7,54991305,0x800001b4,REGEXT,54991255,0x80000184,BGE,54991325,0x80000188,JAL
30,mode2,1,5,54991285,0x800001b4,REGEXT,54991285,0x80000188,JAL,54991295,0x80000188,JAL
34,other,1,1,54991315,0x800001b4,REGEXT,54991305,0x8000018c,VADD,54991385,0x80000190,VMUL
37,other,1,2,54991415,0x800001b4,REGEXT,54991405,0x8000018c,VADD,54991495,0x80000190,VMUL
33,other,1,4,54991305,0x800001b4,REGEXT,54991295,0x8000018c,VADD,54991375,0x80000190,VMUL
31,other,1,0,54991285,0x800001b4,REGEXT,54991275,0x8000018c,VADD,54991355,0x80000190,VMUL
38,other,1,3,54991425,0x800001b4,REGEXT,54991415,0x8000018c,VADD,55009785,0x800002b0,VLW12
35,other,1,6,54991395,0x800001b4,REGEXT,54991385,0x8000018c,VADD,55007435,0x800002b8,VSW12
39,other,1,7,54991445,0x800001b4,REGEXT,54991435,0x8000018c,VADD,55010565,0x800002b0,VLW12
36,other,1,5,54991405,0x800001b4,REGEXT,54991395,0x8000018c,VADD,55010135,0x800002b8,VSW12
41,mode2,1,6,81936885,0x800001b4,REGEXT,81936885,0x80000188,JAL,81936895,0x80000188,JAL
43,mode2,1,5,81936895,0x800001b4,REGEXT,81936895,0x80000188,JAL,81936905,0x80000188,JAL
40,mode1,1,3,81936875,0x800001b4,REGEXT,81936825,0x80000184,BGE,81936915,0x80000188,JAL
45,mode1,1,7,81936915,0x800001b4,REGEXT,81936865,0x80000184,BGE,81936935,0x80000188,JAL
46,other,1,1,81936925,0x800001b4,REGEXT,81936915,0x8000018c,VADD,81936995,0x80000190,VMUL
49,other,1,2,81937025,0x800001b4,REGEXT,81937015,0x8000018c,VADD,81937105,0x80000190,VMUL
44,other,1,4,81936915,0x800001b4,REGEXT,81936905,0x8000018c,VADD,81936985,0x80000190,VMUL
42,other,1,0,81936895,0x800001b4,REGEXT,81936885,0x8000018c,VADD,81936965,0x80000190,VMUL
48,other,1,5,81937015,0x800001b4,REGEXT,81937005,0x8000018c,VADD,81954855,0x800002b8,VSW12
50,other,1,3,81937035,0x800001b4,REGEXT,81937025,0x8000018c,VADD,81955635,0x800002b0,VLW12
47,other,1,6,81937005,0x800001b4,REGEXT,81936995,0x8000018c,VADD,81953435,0x800002b8,VSW12
51,other,1,7,81937055,0x800001b4,REGEXT,81937045,0x8000018c,VADD,81956595,0x800002b0,VLW12
53,mode2,1,5,108878385,0x800001b4,REGEXT,108878385,0x80000188,JAL,108878395,0x80000188,JAL
52,mode1,1,4,108878375,0x800001b4,REGEXT,108878325,0x80000184,BGE,108878415,0x80000188,JAL
56,mode1,1,0,108878415,0x800001b4,REGEXT,108878365,0x80000184,BGE,108878435,0x80000188,JAL
54,mode2,1,6,108878395,0x800001b4,REGEXT,108878395,0x80000188,JAL,108878405,0x80000188,JAL
61,other,1,1,108878525,0x800001b4,REGEXT,108878515,0x8000018c,VADD,108878605,0x80000190,VMUL
58,other,1,2,108878425,0x800001b4,REGEXT,108878415,0x8000018c,VADD,108878495,0x80000190,VMUL
57,other,1,3,108878415,0x800001b4,REGEXT,108878405,0x8000018c,VADD,108878485,0x80000190,VMUL
55,other,1,7,108878395,0x800001b4,REGEXT,108878385,0x8000018c,VADD,108878465,0x80000190,VMUL
62,other,1,4,108878535,0x800001b4,REGEXT,108878525,0x8000018c,VADD,108897855,0x800002b0,VLW12
59,other,1,5,108878505,0x800001b4,REGEXT,108878495,0x8000018c,VADD,108895505,0x800002b8,VSW12
63,other,1,0,108878555,0x800001b4,REGEXT,108878545,0x8000018c,VADD,108898635,0x800002b0,VLW12
60,other,1,6,108878515,0x800001b4,REGEXT,108878505,0x8000018c,VADD,108898205,0x800002b8,VSW12
